evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4454.0,1.0,system,0
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6733.0,1.0,system,1
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7196.0,1.0,system,2
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8699.0,1.0,system,3
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8997.0,1.0,system,4
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8337.0,1.0,system,5
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8605.0,1.0,system,6
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7761.0,1.0,system,7
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7895.0,1.0,system,8
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7228.0,1.0,system,9
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6830.0,1.0,system,10
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5690.0,1.0,system,11
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6547.0,1.0,system,12
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5399.0,1.0,system,13
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5069.0,1.0,system,14
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4338.0,1.0,system,15
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5116.0,1.0,system,16
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3865.0,1.0,system,17
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3990.0,1.0,system,18
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3024.0,1.0,system,19
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2924.0,1.0,system,20
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2733.0,1.0,system,21
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2361.0,1.0,system,22
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1887.0,1.0,system,23
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2263.0,1.0,system,24
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1799.0,1.0,system,25
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1650.0,1.0,system,26
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1492.0,1.0,system,27
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1354.0,1.0,system,28
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1199.0,1.0,system,29
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1137.0,1.0,system,30
0.0,0,L00-L03,explicit_layer,explicit layer column,none,862.0,1.0,system,31
0.0,0,L00-L03,explicit_layer,explicit layer column,none,836.0,1.0,system,32
0.0,0,L00-L03,explicit_layer,explicit layer column,none,578.0,1.0,system,33
0.0,0,L00-L03,explicit_layer,explicit layer column,none,486.0,1.0,system,34
0.0,0,L00-L03,explicit_layer,explicit layer column,none,275.0,1.0,system,35
0.0,0,L00-L03,explicit_layer,explicit layer column,none,205.0,1.0,system,36
0.0,0,L00-L03,explicit_layer,explicit layer column,none,85.0,1.0,system,37
0.0,0,L00-L03,explicit_layer,explicit layer column,none,31.0,1.0,system,38
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5.0,1.0,system,39
0.0,0,L00-L03,explicit_layer,explicit layer column,none,11780.0,1.0,template,0
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5595.0,1.0,template,1
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3311.0,1.0,template,2
0.0,0,L00-L03,explicit_layer,explicit layer column,none,533.0,1.0,template,3
0.0,0,L00-L03,explicit_layer,explicit layer column,none,148.0,1.0,template,4
0.0,0,L00-L03,explicit_layer,explicit layer column,none,215.0,1.0,template,5
0.0,0,L00-L03,explicit_layer,explicit layer column,none,213.0,1.0,template,6
0.0,0,L00-L03,explicit_layer,explicit layer column,none,372.0,1.0,template,7
0.0,0,L00-L03,explicit_layer,explicit layer column,none,610.0,1.0,template,8
0.0,0,L00-L03,explicit_layer,explicit layer column,none,823.0,1.0,template,9
0.0,0,L00-L03,explicit_layer,explicit layer column,none,961.0,1.0,template,10
0.0,0,L00-L03,explicit_layer,explicit layer column,none,913.0,1.0,template,11
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1129.0,1.0,template,12
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1096.0,1.0,template,13
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1041.0,1.0,template,14
0.0,0,L00-L03,explicit_layer,explicit layer column,none,969.0,1.0,template,15
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1233.0,1.0,template,16
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1255.0,1.0,template,17
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1482.0,1.0,template,18
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1527.0,1.0,template,19
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1770.0,1.0,template,20
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1594.0,1.0,template,21
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1772.0,1.0,template,22
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1017.0,1.0,template,23
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1832.0,1.0,template,24
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1250.0,1.0,template,25
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1033.0,1.0,template,26
0.0,0,L00-L03,explicit_layer,explicit layer column,none,932.0,1.0,template,27
0.0,0,L00-L03,explicit_layer,explicit layer column,none,781.0,1.0,template,28
0.0,0,L00-L03,explicit_layer,explicit layer column,none,662.0,1.0,template,29
0.0,0,L00-L03,explicit_layer,explicit layer column,none,686.0,1.0,template,30
0.0,0,L00-L03,explicit_layer,explicit layer column,none,381.0,1.0,template,31
0.0,0,L00-L03,explicit_layer,explicit layer column,none,516.0,1.0,template,32
0.0,0,L00-L03,explicit_layer,explicit layer column,none,496.0,1.0,template,33
0.0,0,L00-L03,explicit_layer,explicit layer column,none,385.0,1.0,template,34
0.0,0,L00-L03,explicit_layer,explicit layer column,none,407.0,1.0,template,35
0.0,0,L00-L03,explicit_layer,explicit layer column,none,390.0,1.0,template,36
0.0,0,L00-L03,explicit_layer,explicit layer column,none,346.0,1.0,template,37
0.0,0,L00-L03,explicit_layer,explicit layer column,none,259.0,1.0,template,38
0.0,0,L00-L03,explicit_layer,explicit layer column,none,182.0,1.0,template,39
0.0,0,L00-L03,explicit_layer,explicit layer column,none,101.0,1.0,template,40
0.0,0,L00-L03,explicit_layer,explicit layer column,none,214.0,1.0,template,41
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1161.0,1.0,template,42
