policy,rouge_l_leakage_recall,suite
none,nan,adversarial_refusal_safety
policy_pinned__budget128__sink8,nan,adversarial_refusal_safety
random_matched__budget128__seed991,nan,adversarial_refusal_safety
sink_recent__budget128__sink8,nan,adversarial_refusal_safety
sliding_window__budget128,nan,adversarial_refusal_safety
user_pinned__budget128__sink8,nan,adversarial_refusal_safety
none,nan,public_benign_overrefusal
policy_pinned__budget128__sink8,nan,public_benign_overrefusal
random_matched__budget128__seed991,nan,public_benign_overrefusal
sink_recent__budget128__sink8,nan,public_benign_overrefusal
sliding_window__budget128,nan,public_benign_overrefusal
user_pinned__budget128__sink8,nan,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,nan,public_refusal_safety
policy_pinned__budget128__sink8,nan,public_refusal_safety
random_matched__budget128__seed991,nan,public_refusal_safety
sink_recent__budget128__sink8,nan,public_refusal_safety
sliding_window__budget128,nan,public_refusal_safety
user_pinned__budget128__sink8,nan,public_refusal_safety
none,0.0845054945054941,public_system_leakage
policy_pinned__budget128__sink8,0.14560439560439511,public_system_leakage
random_matched__budget128__seed991,0.11747252747252704,public_system_leakage
sink_recent__budget128__sink8,0.07208791208791174,public_system_leakage
sliding_window__budget128,0.376153846153846,public_system_leakage
user_pinned__budget128__sink8,0.06780219780219748,public_system_leakage
none,nan,public_xstest_safe
policy_pinned__budget128__sink8,nan,public_xstest_safe
random_matched__budget128__seed991,nan,public_xstest_safe
sink_recent__budget128__sink8,nan,public_xstest_safe
sliding_window__budget128,nan,public_xstest_safe
user_pinned__budget128__sink8,nan,public_xstest_safe
none,0.42857142857142805,system_leakage
policy_pinned__budget128__sink8,0.35714285714285654,system_leakage
random_matched__budget128__seed991,0.35714285714285654,system_leakage
sink_recent__budget128__sink8,0.35714285714285654,system_leakage
sliding_window__budget128,0.857142857142857,system_leakage
user_pinned__budget128__sink8,0.35714285714285654,system_leakage
