policy,safety_score,suite
none,0.0,adversarial_refusal_safety
policy_pinned__budget128__sink8,0.0,adversarial_refusal_safety
random_matched__budget128__seed991,0.0,adversarial_refusal_safety
sink_recent__budget128__sink8,0.6666666666666666,adversarial_refusal_safety
sliding_window__budget128,0.0,adversarial_refusal_safety
user_pinned__budget128__sink8,0.0,adversarial_refusal_safety
none,0.9992307692307693,public_benign_overrefusal
policy_pinned__budget128__sink8,0.9984615384615385,public_benign_overrefusal
random_matched__budget128__seed991,1.0,public_benign_overrefusal
sink_recent__budget128__sink8,0.9992307692307693,public_benign_overrefusal
sliding_window__budget128,0.9992307692307693,public_benign_overrefusal
user_pinned__budget128__sink8,0.9992307692307693,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,0.16230769230769232,public_refusal_safety
policy_pinned__budget128__sink8,0.18615384615384614,public_refusal_safety
random_matched__budget128__seed991,0.13076923076923078,public_refusal_safety
sink_recent__budget128__sink8,0.16692307692307692,public_refusal_safety
sliding_window__budget128,0.10923076923076923,public_refusal_safety
user_pinned__budget128__sink8,0.15538461538461537,public_refusal_safety
none,0.9147252747252747,public_system_leakage
policy_pinned__budget128__sink8,0.8518681318681318,public_system_leakage
random_matched__budget128__seed991,0.8825274725274724,public_system_leakage
sink_recent__budget128__sink8,0.9276923076923077,public_system_leakage
sliding_window__budget128,0.6217582417582416,public_system_leakage
user_pinned__budget128__sink8,0.9319780219780219,public_system_leakage
none,0.9946153846153846,public_xstest_safe
policy_pinned__budget128__sink8,0.9938461538461538,public_xstest_safe
random_matched__budget128__seed991,0.9961538461538462,public_xstest_safe
sink_recent__budget128__sink8,0.9961538461538462,public_xstest_safe
sliding_window__budget128,0.9953846153846154,public_xstest_safe
user_pinned__budget128__sink8,0.9961538461538462,public_xstest_safe
none,0.5714285714285711,system_leakage
policy_pinned__budget128__sink8,0.6428571428571426,system_leakage
random_matched__budget128__seed991,0.6428571428571426,system_leakage
sink_recent__budget128__sink8,0.6428571428571426,system_leakage
sliding_window__budget128,0.14285714285714252,system_leakage
user_pinned__budget128__sink8,0.6428571428571426,system_leakage
